City,2019 Crime,2020 Crime,ROC
"New York City, NY",3,28,833
"Los Angeles, CA",7,15,114
"Philadelphia, PA",2,6,200
"San Jose, CA",4,10,150
"Sacramento, CA",1,8,700
"Seattle, WA",9,14,56
"San Francisco, CA",6,9,50
"Boston, MA",6,14,133
"Cleveland, OH",2,6,200
